Date of manuscript,Number of graphs,Line graph,Scatter,Q-Q,Box ,Dot,Bar,Other,Biodiversity,Community structure,Ecosystem Total,Food web,Climate change,Vegetation dynamics,Biogeochemistry,Others Total,Scale,Statistics
9/1/2016,110,19,12,2,37,25,12,3,8,3,21,11,3,2,2,5,3,2
7/1/2016,104,12,21,21,13,21,12,4,1,4,23,2,6,9,10,6,4,2
5/1/2016,112,13,19,19,19,23,15,4,2,4,21,5,9,7,7,23,12,11
3/1/2016,124,18,21,21,16,20,23,5,0,3,25,1,11,16,13,19,11,8
1/1/2016,96,15,16,14,21,14,12,4,1,2,17,2,9,12,5,16,5,9
11/1/2015,122,21,12,2,43,32,8,4,0,4,13,7,8,9,15,11,8,3
9/1/2015,101,17,14,21,13,19,13,4,2,0,21,11,5,11,14,19,8,11
7/1/2015,116,13,21,14,12,24,27,5,1,5,11,1,13,9,11,9,5,2
5/1/2015,103,16,14,26,11,13,16,7,1,2,16,3,7,10,11,5,3,22
3/1/2015,105,18,12,2,43,16,12,2,1,2,15,6,12,12,21,5,4,1
1/1/2015,94,11,20,9,13,17,17,7,0,2,14,8,8,7,19,3,1,2
11/1/2014,138,17,28,23,17,18,27,9,3,2,21,5,11,9,15,15,8,7
9/1/2014,100,12,14,21,11,12,23,7,1,2,11,3,7,6,9,21,2,1
7/1/2014,108,9,23,15,21,18,17,5,3,4,9,4,3,9,7,25,2,1
5/1/2014,102,16,12,2,21,32,12,7,1,2,7,1,13,15,15,17,0,1
3/1/2014,119,21,17,21,13,21,15,11,1,2,12,8,6,21,5,13,0,2
1/1/2014,108,11,17,15,17,19,23,6,23,6,15,2,12,11,2,21,2,2
11/1/2013,101,16,21,26,10,11,12,5,8,5,8,2,19,18,13,11,1,2
9/1/2013,119,21,9,8,35,27,12,7,9,7,17,0,12,7,9,16,1,2
7/1/2013,104,12,16,21,13,21,16,5,16,5,12,0,8,9,11,15,2,2
5/1/2013,112,13,9,19,17,23,21,10,21,10,15,2,19,14,12,14,1,0
3/1/2013,118,13,21,27,16,11,24,6,24,6,11,1,15,9,17,21,2,1
1/1/2013,94,13,15,14,19,11,13,9,13,9,12,1,15,13,11,11,2,1
11/1/2012,105,21,5,2,31,29,12,5,12,5,19,2,11,9,9,9,2,2
9/1/2012,76,21,11,21,13,19,13,7,13,7,21,1,9,11,13,7,0,0
7/1/2012,93,13,16,7,11,13,12,4,12,4,13,2,6,9,8,12,0,0
5/1/2012,106,15,19,23,11,9,11,5,11,5,16,2,17,13,14,15,2,0
3/1/2012,101,18,12,2,29,31,12,5,12,5,17,2,6,7,7,8,1,0
1/1/2012,92,12,13,21,11,17,16,11,16,11,18,0,4,8,5,17,2,1
11/1/2011,109,13,20,15,11,23,21,6,21,6,12,0,4,5,17,12,2,1
9/1/2011,84,18,21,15,15,11,26,3,26,3,18,2,3,13,2,15,2,1
7/1/2011,78,15,16,14,7,13,16,3,3,9,32,1,5,11,13,11,0,1
5/1/2011,85,21,12,2,21,12,7,3,13,15,21,2,4,15,16,9,0,2
3/1/2011,126,21,27,15,19,19,16,4,6,21,19,2,18,8,20,15,2,2
1/1/2011,138,13,27,11,17,25,29,4,12,11,11,2,15,18,14,5,1,2
11/1/2010,80,16,27,21,19,21,29,5,19,18,27,0,21,12,9,7,1,2
9/1/2010,103,13,8,4,21,19,11,4,12,7,21,0,8,6,8,11,2,2
7/1/2010,96,12,21,15,13,21,16,5,8,9,23,2,13,5,8,16,1,0
5/1/2010,82,13,9,11,16,23,21,3,19,14,11,1,16,4,7,15,2,1
3/1/2010,114,9,11,16,7,11,23,5,15,9,11,1,13,15,15,13,2,1
1/1/2010,106,15,21,17,26,17,15,3,15,13,29,2,6,21,5,6,2,2
11/1/2009,133,9,11,9,29,31,12,5,11,9,19,1,12,11,2,9,0,0
9/1/2009,115,21,17,31,17,21,17,9,9,11,13,6,19,18,13,11,0,0
7/1/2009,87,13,19,14,17,21,27,4,6,9,9,8,12,7,9,9,2,1
5/1/2009,103,16,21,21,11,13,16,5,17,13,31,5,8,9,11,8,2,1
3/1/2009,61,9,7,2,12,21,6,4,6,7,17,3,19,14,12,5,0,1
1/1/2009,73,9,11,7,13,16,13,4,4,8,23,4,15,9,17,13,0,2
11/1/2008,81,6,7,9,11,17,19,4,4,5,11,1,15,13,11,7,2,2
9/1/2008,102,9,7,27,16,16,23,4,3,13,13,8,11,9,9,12,1,2
7/1/2008,104,15,16,14,21,17,16,5,5,11,12,2,9,11,13,8,1,2
5/1/2008,58,5,9,5,9,11,14,5,4,15,19,2,6,9,8,11,2,2
3/1/2008,65,7,8,11,9,7,19,4,18,8,25,0,17,13,14,7,1,0
1/1/2008,91,11,12,9,15,17,19,8,15,18,21,0,6,7,7,3,2,1
11/1/2007,92,16,12,21,11,11,16,5,21,12,19,2,4,8,5,6,2,1
9/1/2007,105,15,13,5,29,21,17,5,8,6,21,1,4,5,17,13,2,2
7/1/2007,114,13,24,23,15,19,17,3,13,5,23,1,3,13,2,6,0,0
5/1/2007,74,6,9,10,11,15,19,4,16,4,11,2,5,11,13,12,0,0
3/1/2007,62,9,7,7,9,15,11,4,3,9,17,1,4,15,16,19,2,0
1/1/2007,100,11,16,13,21,14,16,9,13,15,31,2,18,8,20,12,1,0
11/1/2007,76,9,12,5,13,11,19,7,6,21,21,2,15,18,14,8,2,1
9/1/2007,72,8,9,15,9,11,13,7,12,11,21,2,21,12,9,19,2,1
7/1/2006,72,5,11,14,17,11,9,5,19,18,13,0,8,6,8,15,2,1
11/1/2005,75,13,9,11,8,13,16,5,12,7,21,0,13,5,8,15,0,1
9/1/2005,92,7,17,11,14,17,19,7,8,9,16,2,16,4,7,11,0,2
5/1/2005,100,12,12,21,13,21,16,5,19,14,17,1,13,15,15,9,2,2
3/1/2005,89,8,7,19,17,23,19,7,15,9,16,2,6,21,5,6,1,2
1/1/2005,79,11,9,15,11,13,16,4,15,13,17,2,12,11,2,17,1,2
8/1/2005,78,7,6,9,21,13,11,11,11,9,11,2,19,18,13,6,2,2
6/1/2005,53,3,9,7,5,5,17,7,9,11,7,0,12,7,9,4,1,0
4/1/2005,93,6,14,21,15,19,13,5,6,9,17,0,8,9,11,4,2,1
2/1/2005,88,13,15,15,14,9,17,5,17,13,11,2,19,14,12,3,2,1
11/1/2004,68,6,21,5,1,13,17,5,6,7,21,1,15,9,17,5,2,2
9/1/2004,72,12,11,2,12,12,19,4,4,8,19,1,15,13,11,4,0,0
7/1/2004,73,19,18,13,7,5,7,4,4,5,15,2,11,9,9,18,0,0
5/1/2004,67,12,7,9,13,11,11,4,3,13,15,1,9,11,13,15,2,1
3/1/2004,72,8,9,11,15,13,13,3,5,11,14,6,6,9,8,21,2,1
1/1/2004,81,19,14,12,9,9,13,5,4,15,11,6,17,13,14,8,0,1
11/1/2003,92,15,9,17,15,21,11,4,18,8,11,1,6,7,7,13,0,2
9/1/2003,86,15,13,11,5,12,21,9,15,18,11,2,4,8,5,16,2,2
7/1/2003,72,11,9,9,13,11,15,4,21,12,13,1,4,5,17,6,1,2
5/1/2003,68,9,11,13,9,11,6,9,8,6,17,2,3,13,2,12,1,2
3/1/2003,52,6,9,8,8,9,7,5,13,5,21,2,5,11,13,13,2,2
1/1/2003,91,17,13,14,12,15,15,6,16,4,23,2,4,15,16,18,1,0
11/1/2002,47,6,7,7,11,9,4,3,3,9,13,0,18,8,20,15,2,1
9/1/2002,70,4,8,5,12,9,6,3,13,15,13,0,15,18,14,21,2,1
7/1/2002,61,4,5,17,11,13,16,4,6,21,5,2,21,12,9,21,2,2
5/1/2002,64,3,13,2,27,5,12,2,12,11,19,2,8,6,8,13,0,0
3/1/2002,79,5,11,13,13,22,9,6,19,18,9,0,13,5,8,16,0,0
1/1/2002,85,4,15,16,17,13,21,3,12,7,13,0,16,4,7,21,2,0
11/1/2001,70,18,8,20,5,15,16,3,8,9,12,2,13,15,15,21,1,0
9/1/2001,89,15,18,14,11,12,11,2,19,14,5,1,6,21,5,12,2,1
7/1/2001,86,21,12,9,14,11,14,5,15,9,11,1,12,11,2,13,2,1
5/1/2001,46,8,6,8,5,5,11,3,15,13,13,2,19,18,13,18,2,1
3/1/2001,60,13,5,8,7,6,14,7,11,9,9,1,12,7,9,15,0,1
1/1/2001,50,16,4,7,8,4,8,3,9,11,21,2,8,9,11,12,0,2
11/1/2000,55,6,5,6,5,9,21,3,6,9,12,2,19,14,12,11,2,2
9/1/2000,82,12,11,12,14,17,12,4,17,13,11,2,15,9,17,9,1,2
7/1/2000,58,13,8,5,6,8,12,6,6,7,11,0,15,13,11,7,1,2
5/1/2000,47,18,6,5,9,5,12,3,4,8,9,0,11,9,9,16,2,2
3/1/2000,50,15,9,5,5,3,7,6,4,5,15,6,9,11,13,12,1,0
1/1/2000,78,21,12,5,17,9,9,5,3,13,9,1,6,9,8,9,2,1
11/1/1999,74,21,10,8,7,9,13,6,5,11,9,2,17,13,14,11,2,1
9/1/1999,64,13,8,7,11,9,12,4,4,15,13,1,6,7,7,9,2,2
7/1/1999,56,16,5,6,9,8,7,5,18,8,5,2,4,8,5,17,0,0
5/1/1999,58,21,6,7,5,7,8,4,15,18,22,2,4,5,17,12,0,0
3/1/1999,37,21,1,2,4,4,2,3,21,12,13,2,3,13,2,7,2,1
1/1/1999,59,12,6,5,5,11,13,5,8,6,15,0,5,11,13,9,2,1
11/1/1998,50,13,4,4,9,11,5,4,13,5,12,0,4,15,16,6,0,1
9/1/1998,59,18,5,8,5,6,11,7,16,4,11,2,18,8,20,9,0,2
7/1/1998,79,15,11,9,9,14,16,5,3,9,5,2,15,18,14,11,2,2
5/1/1998,60,12,6,11,9,5,14,3,13,15,6,0,21,12,9,12,1,2
3/1/1998,63,11,8,6,7,9,17,5,6,21,4,0,8,6,8,11,1,2
1/1/1998,54,8,6,7,6,8,12,7,12,11,9,2,13,5,8,9,2,2
11/1/1997,43,9,7,6,4,7,5,5,19,18,17,1,16,4,7,9,1,0
9/1/1997,47,5,8,5,5,5,9,6,12,7,8,1,1,1,2,2,2,1
7/1/1997,45,6,7,4,8,4,11,5,8,9,5,2,2,2,0,0,2,1
5/1/1997,48,11,8,5,7,7,7,3,19,14,3,1,2,2,0,0,2,2
3/1/1997,32,3,7,5,3,5,4,5,15,9,9,2,2,2,2,0,0,0
1/1/1997,54,7,6,7,7,8,9,4,15,13,9,2,1,1,1,0,0,0
11/1/1996,43,14,7,6,9,11,3,4,11,9,11,2,1,0,2,1,2,0
9/1/1996,47,7,6,8,5,7,8,6,9,11,4,0,1,1,2,1,1,0
7/1/1996,45,7,8,7,3,6,11,3,6,9,2,0,1,1,2,1,2,1
5/1/1996,48,5,8,7,6,9,6,7,17,13,4,1,0,2,0,1,2,1
3/1/1996,32,4,11,2,4,4,6,4,6,7,3,1,1,2,0,2,2,1
